idzap          id_el                                               mxlen_e  name_e                                                                                                       desc_e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               type_d  type_e  form_e  
A_0400/01700   ZL_LIST/ZAP/PACIENT                                 NULL     Сведения о пациенте                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       S
A_0400/01800   ZL_LIST/ZAP/Z_SL                                    NULL     Сведения о законченном случае                                                                                Сведения о законченном случае оказания медицинской помощи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            A       О       S
A_0500/01900   ZL_LIST/ZAP/PACIENT/VPOLIS                          1        Тип документа, подтверждающего факт страхования по ОМС                                                       F008 Приложения А                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    A       О       N
A_0500/02000   ZL_LIST/ZAP/PACIENT/SPOLIS                          10       Серия документа, подтверждающего факт страхования по ОМС                                                     NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       У       T
A_0500/02100   ZL_LIST/ZAP/PACIENT/NPOLIS                          20       Номер документа, подтверждающего факт страхования по ОМС                                                     NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       У       T
A_0500/02200   ZL_LIST/ZAP/PACIENT/ENP                             16       Единый номер полиса                                                                                          NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       У       T
A_0600/02300   ZL_LIST/ZAP/Z_SL/IDCASE                             11       Номер записи в реестре случаев                                                                               NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       N
A_0600/02400   ZL_LIST/ZAP/Z_SL/IDSP                               2        Код способа оплаты медицинской помощи                                                                        Классификатор способов оплаты медицинской помощи V010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                A       О       N
A_0600/02500   ZL_LIST/ZAP/Z_SL/SL                                 NULL     Сведения о случае                                                                                            NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       ОМ      S
A_0600/02600   ZL_LIST/ZAP/Z_SL/SUMV                               15.2     Сумма, выставленная к оплате                                                                                 NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       N
A_0600/02700   ZL_LIST/ZAP/Z_SL/OPLATA                             1        Тип оплаты                                                                                                   Оплата случая оказания медпомощи: 0 – не принято решение об оплате 1 – полная оплата; 2 – полный отказ; 3 – частичный отказ.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         A       О       N
A_0600/02800   ZL_LIST/ZAP/Z_SL/SUMP                               15.2     Сумма, принятая к оплате                                                                                     Сумма, принятая к оплате территориальным фондом ОМС, которому предъявлен счёт.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       A       О       N
A_0600/02900   ZL_LIST/ZAP/Z_SL/SANK                               NULL     Сведения о санкциях                                                                                          Описывает санкции, примененные в рамках данного законченного случая.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       УМ      S
A_0600/03000   ZL_LIST/ZAP/Z_SL/SANK_IT                            15.2     Сумма санкций по законченному случаю                                                                         Итоговые санкции определяются на основании санкций, описанных в элементе SANK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        A       У       N
A_0600/03100   ZL_LIST/ZAP/Z_SL/COMENTSL                           250      Служебное поле                                                                                               NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       У       T
A_0700/03200   ZL_LIST/ZAP/Z_SL/SL/SL_ID                           36       Идентификатор                                                                                                Уникально идентифицирует элемент SL в пределах законченного случая.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  A       О       T
A_0700/03300   ZL_LIST/ZAP/Z_SL/SL/NHISTORY                        50       Номер истории болезни/ талона амбулаторного пациента/ карты вызова скорой медицинской помощи                 NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       T
A_0700/03400   ZL_LIST/ZAP/Z_SL/SL/ED_COL                          5.2      Количество единиц оплаты медицинской помощи                                                                  NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       У       N
A_0700/03500   ZL_LIST/ZAP/Z_SL/SL/TARIF                           15.2     Тариф                                                                                                        NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       У       N
A_0800/03600   ZL_LIST/ZAP/Z_SL/SANK/S_CODE                        36       Идентификатор санкции                                                                                        Уникален в пределах законченного случая.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             A       О       T
A_0800/03700   ZL_LIST/ZAP/Z_SL/SANK/S_SUM                         15.2     Сумма финансовой санкции                                                                                     При невыявлении причин для отказа (частичной) оплаты значение должно быть равно 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    A       О       N
A_0800/03800   ZL_LIST/ZAP/Z_SL/SANK/S_TIP                         2        Код вида контроля                                                                                            Заполняется в соответствии с Классификатором видов контроля F006, Приложение А                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       A       О       N
A_0800/03900   ZL_LIST/ZAP/Z_SL/SANK/SL_ID                         36       Идентификатор случая                                                                                         Идентификатор случая, в котором выявлена причина для отказа (частичной) оплаты, в пределах законченного случая. Обязательно к заполнению, если S_SUM не равна 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      A       УМ      T
A_0800/04000   ZL_LIST/ZAP/Z_SL/SANK/S_OSN                         3        Код причины отказа (частичной) оплаты                                                                        Обязательно к заполнению в соответствии с F014 (Классификатор причин отказа в оплате медицинской помощи, Приложение А), если S_SUM не равна 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        A       У       N
